,Pers.No.,department,Gender Key,Marital Status Key,No.ch,Age of employee,age_class,Certificate
415,AAEESQIC,CC,Male,Marr.,2,37,30~40,Bachelor
416,AAEEICQE,CC,Male,Marr.,1,36,30~40,Master
417,AAEEIECL,AE,Female,Single,0,32,30~40,Bachelor
418,AAEEIEIR,AE,Female,Marr.,1,39,30~40,Bachelor
419,AAEEIISQ,CC,Male,Marr.,1,37,30~40,College
420,AAEEIUEL,AE,Male,Marr.,1,35,30~40,Bachelor
421,AAEEILSR,AE,Male,Marr.,1,34,30~40,Master
422,AAEEIARJ,CC,Female,Marr.,1,39,30~40,Bachelor
423,AAEEUECU,CM,Male,Marr.,1,37,30~40,College
424,AAEEUELJ,AE,Male,Marr.,1,38,30~40,Bachelor
425,AAEEUEAQ,AE,Male,Marr.,1,35,30~40,Bachelor
426,AAEEUICJ,AE,Female,Marr.,1,41,40~50,Bachelor
427,AAEEULCI,CP,Male,Marr.,1,38,30~40,Bachelor
428,AAEEULSE,CC,Male,Marr.,1,36,30~40,Bachelor
429,AAEELELA,PA,Male,Marr.,1,39,30~40,Bachelor
430,AAEELIRL,RBAC,Male,Marr.,1,40,40~50,College
431,AAEELUIE,AE,Male,Marr.,1,42,40~50,Bachelor
432,AAEELUUC,AE,Male,Marr.,1,40,40~50,Bachelor
433,AAEELULJ,AE,Male,Single,1,38,30~40,Bachelor
434,AAEELLCS,unknown,Male,Marr.,1,37,30~40,Master
435,AAEEQCEI,CC,Female,Marr.,0,37,30~40,Master
436,AAEEQESC,RBAC,Male,Marr.,2,40,40~50,Bachelor
437,AAEEQJCL,CC,Male,Marr.,1,41,40~50,Bachelor
438,AAEEAUJI,CC,Male,Marr.,1,38,30~40,Master
439,AAEEJSSI,PA,Male,Marr.,2,38,30~40,Bachelor
440,AAEEJSAJ,AE,Male,Marr.,2,37,30~40,Bachelor
441,AAEEJIUC,AE,Male,Single,0,34,30~40,Bachelor
442,AAEEJLSQ,AE,Male,Marr.,2,39,30~40,College
443,AAERCQUC,CC,Female,Marr.,0,37,30~40,Master
444,AAEREEEL,CC,Male,Marr.,0,37,30~40,Master
445,AAEREUEQ,AE,Female,Marr.,1,32,30~40,Bachelor
446,AAEREJEJ,CC,Male,Marr.,1,39,30~40,Master
447,AAERREQJ,AE,Female,Marr.,2,29,25~30,College
448,AAESQLEQ,CM,Female,Marr.,1,41,40~50,Bachelor
449,AAESQLRL,AE,Male,Marr.,1,32,30~40,Bachelor
450,AAESQQRI,CC,Male,Marr.,0,34,30~40,Master
451,AAESAEJJ,CC,Male,Marr.,2,39,30~40,Master
452,AAESARIR,CC,Male,Marr.,1,40,40~50,Bachelor
453,AAESJCCJ,CC,Female,Marr.,1,31,30~40,Bachelor
454,AAESJRRS,CM,Male,Marr.,1,32,30~40,Bachelor
455,AAEICSEJ,CC,Female,Single,0,32,30~40,Master
456,AAEIECUC,AE,Male,Marr.,1,31,30~40,College
457,AAEIECQA,CC,Male,Marr.,1,41,40~50,Master
458,AAEIEIEL,CC,Male,Marr.,0,34,30~40,Master
459,AAEIRCAL,AE,Male,Marr.,1,32,30~40,College
460,AAEIRRLI,CM,Female,Marr.,1,35,30~40,Bachelor
461,AAEIRRAR,CC,Male,Marr.,1,36,30~40,Master
462,AAEIRSCA,CC,Female,Marr.,1,34,30~40,Master
463,AAEIRSEQ,CC,Female,Marr.,1,34,30~40,College
464,AAEIRUIJ,AE,Male,Marr.,1,38,30~40,Bachelor
465,AAEISUCR,CC,Male,Marr.,2,37,30~40,Bachelor
466,AAEISUSJ,AE,Male,Marr.,2,31,30~40,Technical School
467,AAEIIUIQ,CC,Male,Marr.,0,35,30~40,Bachelor
468,AAEIUCSA,AE,Male,Single,0,35,30~40,Bachelor
469,AAEIQSJI,CI,Female,Single,0,30,30~40,College
470,AAEIQIQI,CC,Male,Marr.,0,35,30~40,Bachelor
471,AAELUIRL,AE,Female,Marr.,1,38,30~40,Bachelor
472,AAEQRCAJ,CC,Female,Single,0,36,30~40,Master
473,AAEQSCQJ,CP,Female,Marr.,1,37,30~40,Bachelor
474,AAEQSSIL,AE,Female,Marr.,2,36,30~40,Master
475,AAEQICIE,RBAC,Female,Marr.,1,35,30~40,Bachelor
476,AAEQIUUJ,GS,Female,Marr.,1,36,30~40,Bachelor
477,AAEAEIQE,AE,Male,Marr.,2,37,30~40,Master
478,AAEAEACJ,AE,Female,Marr.,1,31,30~40,College
479,AAEARJRI,CC,Male,Marr.,2,32,30~40,Bachelor
480,AAEARJLC,CC,Male,Marr.,0,39,30~40,Master
481,AAEASCES,CC,Male,Marr.,1,37,30~40,Master
482,AAEASCRR,CC,Male,Single,0,34,30~40,Master
483,AAEAIERJ,AE,Male,Marr.,1,28,25~30,Bachelor
484,AAEAIRIU,AE,Male,Marr.,1,29,25~30,College
485,AAEAIRUI,AE,Male,Single,0,28,25~30,College
486,AAEAUIJU,AE,Female,Marr.,1,42,40~50,Bachelor
487,AAEAUUIQ,PA,Female,Marr.,1,33,30~40,Master
488,AAEAQQCU,CC,Female,Single,0,30,30~40,Bachelor
489,AAEAARCU,AE,Male,Marr.,1,31,30~40,College
490,AAEAAISA,AED,Male,Marr.,2,41,40~50,Bachelor
491,AAEAJEUE,AE,Male,Marr.,0,36,30~40,Master
492,AAEAJRQQ,AE,Male,Marr.,1,39,30~40,College
493,AAEAJLQA,CC,Female,Single,0,41,40~50,Bachelor
494,AAEJCCUC,AE,Male,Marr.,1,35,30~40,Master
495,AAEJCCLJ,AED,Male,Marr.,1,35,30~40,Bachelor
496,AAEJCCQA,CC,Male,Marr.,1,37,30~40,Bachelor
497,AAEJCCAQ,AE,Male,Marr.,1,38,30~40,Bachelor
498,AAEJEISS,CC,Male,Marr.,1,36,30~40,Master
499,AAEJEQIU,AE,Male,Marr.,1,41,40~50,Bachelor
500,AAEJRSAJ,CC,Male,Marr.,2,39,30~40,College
501,AAEJIQCL,AE,Male,Marr.,1,37,30~40,Master
502,AAEJIQEU,CC,Male,Marr.,1,48,40~50,Bachelor
503,AAEJURCL,AE,Male,Marr.,1,39,30~40,Master
504,AAEJUAUA,AE,Male,Marr.,1,42,40~50,Bachelor
505,AAEJLUJJ,GS,Male,Marr.,0,38,30~40,Master
506,AAEJARRE,CC,Female,Marr.,0,32,30~40,Master
507,AAEJARUA,CC,Male,Marr.,1,34,30~40,Master
508,AAEJAUAA,CC,Female,Marr.,1,34,30~40,Bachelor
509,AAEJJRLL,GS,Male,Marr.,1,37,30~40,Bachelor
510,AARCCIQA,AE,Female,Single,0,46,40~50,Master
511,AARCCIAQ,AE,Male,Marr.,2,40,40~50,College
512,AARCEICI,RBAC,Female,Single,0,30,30~40,Bachelor
513,AARCEIRR,CC,Male,Marr.,1,33,30~40,Master
514,AARCRARR,CC,Male,Marr.,0,35,30~40,
515,AARCRAJU,AE,Female,Marr.,2,37,30~40,College
516,AARCSQQA,AE,Male,Marr.,0,33,30~40,Bachelor
517,AARCUISQ,AE,Male,Marr.,2,39,30~40,Bachelor
518,AARCQSSQ,AE,Male,Marr.,1,37,30~40,Master
519,AARCQQQI,CC,Male,Marr.,1,38,30~40,Doctor
520,AARCJSJJ,AE,Male,Marr.,0,30,30~40,Bachelor
521,AARCJISS,AE,Female,Single,0,32,30~40,Bachelor
522,AARESLAQ,CC,Female,Marr.,1,32,30~40,Bachelor
523,AARESLJL,AE,Female,Marr.,1,40,40~50,Master
524,AAREIIUI,AE,Female,Marr.,1,36,30~40,Master
525,AAREIIAE,AE,Female,Marr.,1,31,30~40,Bachelor
526,AAREULJI,AE,Female,Single,0,37,30~40,Bachelor
527,AAREUJQC,AE,Male,Marr.,1,31,30~40,Bachelor
528,AAREUJAJ,RBAC,Male,Marr.,1,38,30~40,Senior High School
529,AAREQLQI,AE,Male,Marr.,1,31,30~40,College
530,AAREJLIU,AE,Male,Marr.,1,37,30~40,Master
531,AARRCSER,BBSD,Female,Marr.,1,37,30~40,College
532,AARRCSUA,RBAC,Male,Marr.,0,30,30~40,Bachelor
533,AARRCQLA,CM,Male,Marr.,1,30,30~40,Bachelor
534,AARRREAQ,CP,Male,Marr.,1,34,30~40,Bachelor
535,AARRRQUQ,AE,Female,Marr.,1,36,30~40,Bachelor
536,AARRRQLL,AE,Male,Single,0,30,30~40,Bachelor
537,AARRRQQU,RBAC,Female,Marr.,1,33,30~40,Bachelor
538,AARRUUUA,AE,Female,Marr.,1,33,30~40,Master
539,AARRLEQI,AE,Male,Marr.,1,38,30~40,Master
540,AARRLRLS,AE,Male,Marr.,1,31,30~40,College
541,AARRLRJC,AE,Female,Marr.,1,36,30~40,Bachelor
542,AARRQECC,CM,Female,Marr.,1,36,30~40,Bachelor
543,AARRAAJU,CM,Male,Marr.,1,29,25~30,College
544,AARRAJEE,AE,Male,Marr.,2,31,30~40,College
545,AARRAJUQ,AE,Female,Marr.,2,39,30~40,Bachelor
546,AARRJRJQ,AE,Male,Marr.,1,33,30~40,Bachelor
547,AARRJLLE,AE,Male,Marr.,1,41,40~50,Bachelor
548,AARSRUUJ,AE,Male,Marr.,1,38,30~40,Bachelor
549,AARSRACA,AE,Male,Marr.,1,31,30~40,College
550,AARSSLAS,AE,Female,Marr.,1,35,30~40,Bachelor
551,AARSUCCR,CC,Male,Marr.,1,35,30~40,College
552,AARSLQSS,RBAC,Male,Marr.,1,39,30~40,Technical School
553,AARSQLQC,CC,Male,Marr.,0,31,30~40,Bachelor
554,AARSQQLJ,RBAC,Male,Marr.,2,41,40~50,Vocational School
555,AARSQJEC,CC,Male,Marr.,1,33,30~40,Master
556,AARSJAJR,RBAC,Female,Marr.,1,40,40~50,Bachelor
557,AARISAIE,CC,Male,Single,0,36,30~40,Bachelor
558,AARIUAUA,AE,Male,Marr.,1,38,30~40,Vocational School
559,AARIUJRJ,PA,Male,Marr.,1,39,30~40,Bachelor
560,AARIQLSR,PA,Female,Marr.,0,36,30~40,Master
561,AARIQAUL,CC,Male,Marr.,1,37,30~40,Doctor
562,AARIALRR,AE,Male,Marr.,1,38,30~40,Bachelor
563,AARIALIC,AE,Male,Marr.,1,42,40~50,Bachelor
564,AARIAQEE,CC,Male,Marr.,1,34,30~40,Bachelor
565,AARIAQIA,CC,Male,Marr.,0,34,30~40,Master
566,AARURLRU,AE,Female,Marr.,0,32,30~40,Bachelor
567,AARURQRS,AE,Female,Single,0,35,30~40,Master
568,AARURQSR,CP,Female,,0,37,30~40,Bachelor
569,AARURQIE,CM,Male,Marr.,0,36,30~40,College
570,AARURQAQ,CC,Male,Marr.,2,34,30~40,Master
571,AARUSESI,AE,Male,Marr.,1,31,30~40,College
572,AARUIARJ,AE,Female,Marr.,0,30,30~40,Bachelor
573,AARULSUU,AE,Male,Marr.,1,39,30~40,Master
574,AARULICA,CC,Female,Single,0,34,30~40,Bachelor
575,AARULULJ,CC,Male,Marr.,1,35,30~40,Bachelor
576,AARULASL,AE,Female,Marr.,1,34,30~40,Bachelor
577,AARULAUI,AE,Male,Marr.,1,32,30~40,Vocational School
578,AARUJACL,AE,Male,Marr.,2,35,30~40,Master
579,AARUJALC,AE,Male,Marr.,1,34,30~40,Bachelor
580,AARLCCAR,AE,Female,Marr.,1,29,25~30,Bachelor
581,AARLECEA,AE,Male,Marr.,1,34,30~40,Bachelor
582,AARLRRJU,CM,Male,Marr.,2,36,30~40,Bachelor
583,AARLRSSJ,CC,Male,Marr.,0,36,30~40,Master
584,AARLRICC,RBAC,Male,Marr.,1,36,30~40,Master
585,AARLRUCQ,AE,Female,Marr.,1,33,30~40,Master
586,AARLRUJA,CC,Male,Single,0,37,30~40,Master
587,AARLSURI,CM,Male,Marr.,1,43,40~50,Master
588,AARLSUIR,CC,Female,Marr.,1,30,30~40,Bachelor
589,AARLUISI,CC,Female,Marr.,0,32,30~40,Master
590,AARLAREQ,AE,Male,Marr.,1,32,30~40,Vocational School
591,AARLAIES,AE,Female,Marr.,1,31,30~40,Bachelor
592,AARLAIIC,CP,Male,Marr.,1,29,25~30,Bachelor
593,AARLAQEL,CC,Female,Marr.,1,33,30~40,Master
594,AARLJIER,CC,Female,Single,0,29,25~30,
595,AARLJUJE,CC,Male,Marr.,1,36,30~40,Bachelor
596,AARLJLRL,CC,Male,Marr.,0,31,30~40,Bachelor
597,AARQCLUC,CC,Male,Marr.,1,30,30~40,Bachelor
598,AARQCQCS,AE,Female,Single,0,29,25~30,
599,AARQCAUL,AE,Male,Marr.,1,37,30~40,Bachelor
600,AARQEURI,AE,Male,Marr.,1,36,30~40,Bachelor
601,AARQELSE,CC,Male,Marr.,0,34,30~40,Bachelor
602,AARQREUJ,CC,Male,Single,0,27,25~30,Master
603,AARQRQIQ,CC,Male,Marr.,1,46,40~50,Senior High School
604,AARQRACJ,AE,Female,Single,0,35,30~40,Bachelor
605,AARQRJIS,AE,Male,Marr.,2,39,30~40,Master
606,AARQSCCU,CM,Female,Single,0,36,30~40,Master
607,AARQSAJJ,CC,Female,Marr.,1,29,25~30,Bachelor
608,AARQSJCL,AE,Female,Marr.,0,31,30~40,
609,AARQURIU,PA,Male,Marr.,0,35,30~40,Bachelor
610,AARQULSQ,CP,Female,Marr.,1,39,30~40,Master
611,AARQLEJE,RBAC,Female,Single,0,39,30~40,Bachelor
612,AARQQIQL,RBAC,Female,Marr.,0,33,30~40,Bachelor
613,AARQASIC,PA,Male,Marr.,1,34,30~40,Bachelor
614,AARQASLA,AE,Male,Marr.,1,41,40~50,Master
615,AARQAUCJ,AE,Female,Marr.,2,32,30~40,Bachelor
616,AARQALIS,AE,Male,Marr.,2,37,30~40,Bachelor
617,AARQJCCJ,AE,Male,Marr.,1,33,30~40,Bachelor
618,AARQJCEA,CM,Female,Marr.,1,36,30~40,Master
619,AARQJCRQ,CP,Female,Marr.,1,38,30~40,Bachelor
620,AARQJRQA,AE,Male,Marr.,1,41,40~50,Bachelor
621,AARACEAL,CM,Female,Marr.,1,30,30~40,
622,AARACEJU,PA,Male,Marr.,1,36,30~40,Master
623,AARAERSA,AE,Female,Marr.,1,39,30~40,Senior High School
624,AARAERJR,CP,Male,Marr.,1,39,30~40,Bachelor
625,AARASLEJ,AE,Male,Marr.,2,38,30~40,Bachelor
626,AARASJJU,CC,Male,Marr.,1,31,30~40,Master
627,AARAQLQJ,PA,Female,Marr.,1,32,30~40,Bachelor
628,AARAQACR,CM,Male,Marr.,0,30,30~40,Bachelor
629,AARAALUC,AE,Male,Marr.,1,39,30~40,Master
630,AARJILQC,RBAC,Female,Marr.,1,33,30~40,Master
631,AARJIQLJ,RBAC,Male,Marr.,1,33,30~40,
632,AARJUSLQ,SG,Male,Marr.,2,37,30~40,Master
633,AARJLSLL,AE,Male,Marr.,1,36,30~40,Bachelor
634,AARJLSJS,CM,Male,Marr.,2,35,30~40,Bachelor
635,AARJQAUU,CC,Male,Single,0,32,30~40,
636,AASCERJA,PA,Male,Marr.,0,37,30~40,Master
637,AASCEQRI,AE,Female,Marr.,1,35,30~40,Bachelor
638,AASCEALA,AE,Male,Marr.,2,39,30~40,College
639,AASCEAQQ,CC,Male,Marr.,2,37,30~40,Bachelor
640,AASCSIEC,PA,Male,Marr.,1,45,40~50,Bachelor
641,AASCSLCL,AE,Female,Marr.,3,29,25~30,
642,AASCSAJS,CM,Male,Single,0,28,25~30,
643,AASCICQE,AE,Male,Marr.,1,27,25~30,
644,AASCUEUC,AE,Female,Marr.,1,38,30~40,Technical School
645,AASCLERR,CC,Male,Marr.,0,38,30~40,Master
646,AASCQIQC,RBAC,Female,Marr.,0,29,25~30,
647,AASCQUES,AE,Male,Marr.,2,36,30~40,Bachelor
648,AASCJRLS,CC,Female,Marr.,1,35,30~40,Bachelor
649,AASCJSCQ,AE,Male,Marr.,2,36,30~40,Bachelor
650,AASCJICU,AE,Male,Marr.,1,33,30~40,Bachelor
651,AASCJUSJ,RBAC,Female,Marr.,2,37,30~40,Bachelor
652,AASCJQQE,AE,Male,Marr.,1,38,30~40,Bachelor
653,AASECAAU,AE,Female,Marr.,1,39,30~40,Bachelor
654,AASECJSA,AE,Male,Marr.,1,42,40~50,Master
655,AASEEECQ,RBAC,Male,Marr.,0,31,30~40,Bachelor
656,AASEERRS,AE,Female,Single,0,33,30~40,
657,AASERCQE,AE,Female,Single,0,30,30~40,
658,AASERJLS,CC,Female,Single,0,33,30~40,Master
659,AASESEQA,AE,Female,Marr.,1,29,25~30,
660,AASEICSS,CC,Female,Marr.,1,43,40~50,Master
661,AASEIEQQ,AE,Female,Marr.,1,42,40~50,Bachelor
662,AASEISCC,CC,Male,Marr.,2,35,30~40,College
663,AASEUIRU,CC,Male,Single,0,37,30~40,Bachelor
664,AASRCIUU,CM,Female,Marr.,2,30,30~40,Bachelor
665,AASRERAU,AE,Female,,0,30,30~40,
666,AASRERJI,CP,Female,Marr.,1,35,30~40,Bachelor
667,AASRESEC,AE,Female,Marr.,0,30,30~40,
668,AASRESJR,RBAC,Female,Marr.,0,31,30~40,
669,AASREUQJ,AE,Male,Marr.,0,34,30~40,Bachelor
670,AASREQIA,AE,Male,Marr.,1,38,30~40,Master
671,AASREQQU,AE,Male,Single,0,33,30~40,
672,AASRREIC,CC,Male,Marr.,1,37,30~40,Bachelor
673,AASRSIQC,AE,Female,Marr.,1,32,30~40,Master
674,AASRUQLR,AE,Male,Marr.,1,30,30~40,
675,AASRLQSI,CM,Male,Marr.,0,38,30~40,Master
676,AASRQRSI,AE,Female,Marr.,1,35,30~40,Bachelor
677,AASRQRUR,PA,Male,Marr.,0,42,40~50,Bachelor
678,AASRQRLE,AE,Female,Marr.,2,37,30~40,College
679,AASRQAIC,PA,Male,Marr.,1,32,30~40,Master
680,AASRJESI,AE,Male,Marr.,1,37,30~40,College
681,AASSCSQS,AE,Female,Single,0,37,30~40,Bachelor
682,AASSCSJE,CP,Male,Marr.,2,34,30~40,Bachelor
683,AASSCLRE,AE,Female,Single,0,29,25~30,
684,AASSCLUA,AE,Male,Marr.,0,30,30~40,Master
685,AASSRCUJ,RBAC,Male,Marr.,1,40,40~50,College
686,AASSSRUI,AE,Male,Marr.,0,31,30~40,Bachelor
687,AASSSIJL,AE,Male,Marr.,0,36,30~40,Bachelor
688,AASSSUCR,AE,Male,Marr.,1,35,30~40,Bachelor
689,AASSUEQR,CC,Male,Single,0,31,30~40,
690,AASSURJA,AE,Male,Marr.,1,38,30~40,College
691,AASSUUCC,AE,Male,Marr.,0,29,25~30,
692,AASSAIAR,PA,Female,,0,35,30~40,Master
693,AASIEELU,AE,Male,Marr.,1,29,25~30,
694,AASIERJC,AE,Female,Single,0,34,30~40,Bachelor
695,AASIESCQ,AE,Male,Marr.,1,37,30~40,Bachelor
696,AASIRQCQ,AE,Male,Marr.,1,29,25~30,College
697,AASIICUU,CI,Female,Marr.,1,32,30~40,College
698,AASIIESU,CC,Male,Marr.,1,35,30~40,College
699,AASIIEAC,CC,Male,Single,0,30,30~40,
700,AASIUSIJ,AE,Male,Marr.,1,28,25~30,
701,AASIUAUQ,CC,Male,Marr.,0,40,40~50,Master
702,AASIUJUU,CP,Female,Marr.,1,40,40~50,
703,AASILSQU,AE,Female,Marr.,0,36,30~40,Bachelor
704,AASILSAI,AE,Female,Marr.,1,36,30~40,Bachelor
705,AASILUIS,AE,Female,Marr.,1,38,30~40,Bachelor
706,AASILLCU,AE,Male,Marr.,1,30,30~40,Bachelor
707,AASIQEJL,CM,Male,Marr.,2,36,30~40,Vocational School
708,AASIQRER,CP,Male,Marr.,0,35,30~40,Bachelor
709,AASIQQJS,CM,Male,Marr.,0,34,30~40,Master
710,AASIQASQ,AE,Male,Marr.,1,38,30~40,Bachelor
711,AASIQJUS,CM,Male,Marr.,1,43,40~50,Master
712,AASIAUQA,AE,Male,Marr.,1,38,30~40,College
713,AASUCAUJ,PA,Female,Marr.,0,30,30~40,
714,AASUECAR,CC,Female,Single,0,29,25~30,Bachelor
715,AASUEIUQ,RBAC,Female,Marr.,2,35,30~40,Bachelor
716,AASUEIJS,AE,Male,Marr.,0,38,30~40,College
717,AASUEUJC,CC,Male,Single,0,31,30~40,Master
718,AASURUAC,CM,Female,Marr.,1,29,25~30,
719,AASURQRR,CM,Female,Marr.,1,30,30~40,
720,AASURASJ,AA,Male,Single,0,28,25~30,Bachelor
721,AASURALL,CC,Male,Marr.,1,34,30~40,Master
722,AASURAQU,AE,Male,Marr.,1,30,30~40,Bachelor
723,AASURJCC,AE,Male,Marr.,1,39,30~40,College
724,AASURJRA,CM,Female,Marr.,1,33,30~40,Bachelor
725,AASURJUU,CM,Male,Marr.,1,37,30~40,Bachelor
726,AASUIRSC,CM,Female,Marr.,2,35,30~40,College
727,AASUIRIJ,RBAC,Female,Marr.,1,38,30~40,Bachelor
728,AASUIQLL,AE,Female,Single,0,29,25~30,Bachelor
729,AASUIJLR,ED,Female,Marr.,1,37,30~40,Bachelor
730,AASUUJRU,AE,Female,Marr.,1,36,30~40,Bachelor
731,AASULREC,CI,Male,Marr.,1,38,30~40,Bachelor
732,AASULSEA,AE,Female,Marr.,1,40,40~50,Bachelor
733,AASUQCUJ,AE,Male,Marr.,1,39,30~40,Bachelor
734,AASUQCAL,AE,Male,Marr.,1,36,30~40,Bachelor
735,AASUQEEE,CM,Male,Single,0,33,30~40,Bachelor
736,AASUQEIA,AE,Male,Marr.,1,35,30~40,College
737,AASUQELL,CC,Male,Marr.,1,36,30~40,Master
738,AASUQEAI,RBAC,Male,Marr.,1,34,30~40,Bachelor
739,AASUQRSQ,RBAC,Male,Marr.,1,45,40~50,College
740,AASUQRIL,AE,Female,Marr.,1,38,30~40,Bachelor
741,AASUJRII,RBAC,Male,Marr.,1,47,40~50,Senior High School
742,AASUJRQE,CC,Male,Single,0,33,30~40,Master
743,AASUJLEA,AE,Female,Marr.,1,40,40~50,Bachelor
744,AASUJQUR,CM,Male,Marr.,2,33,30~40,
745,AASUJAAQ,AE,Female,Marr.,1,35,30~40,Master
746,AASUJJQL,AE,Female,Marr.,1,36,30~40,Bachelor
747,AASLEILI,CM,Male,Marr.,1,40,40~50,Bachelor
748,AASLEUSI,CM,Female,Single,0,33,30~40,Bachelor
749,AASLRESR,AE,Male,Marr.,1,33,30~40,Master
750,AASLRELJ,AE,Male,Marr.,1,33,30~40,Bachelor
751,AASLRRLQ,CC,Male,Marr.,0,34,30~40,Bachelor
752,AASLRUAA,CM,Male,Marr.,1,35,30~40,Bachelor
753,AASLSRLL,CC,Female,Marr.,1,40,40~50,Bachelor
754,AASLURAR,AE,Male,Marr.,1,32,30~40,Master
755,AASLUQQR,RBAC,Female,Marr.,2,38,30~40,College
756,AASLUACQ,CC,Male,Marr.,0,34,30~40,Bachelor
757,AASLUARU,CC,Female,Single,0,29,25~30,
758,AASLQIRR,AE,Male,Marr.,2,33,30~40,Vocational School
759,AASLQISE,AE,Male,Marr.,2,40,40~50,Bachelor
760,AASLQURJ,AE,Male,Marr.,1,34,30~40,College
761,AASLQUSA,CM,Male,,2,40,40~50,Bachelor
762,AASLQLQR,CC,Male,Marr.,1,39,30~40,College
763,AASLQQQC,AE,Male,Marr.,1,39,30~40,Bachelor
764,AASLQJCS,AE,Female,Single,0,36,30~40,Bachelor
765,AASLQJIJ,CC,Male,Single,0,30,30~40,Bachelor
766,AASLQJUA,AE,Male,Marr.,1,39,30~40,Master
767,AASQCCIS,AE,Male,Marr.,1,36,30~40,Master
768,AASQCCLE,BBSD,Female,Marr.,0,28,25~30,
769,AASQCRLQ,AE,Female,Marr.,1,39,30~40,Bachelor
770,AASQCQEE,PA,Male,Marr.,2,33,30~40,College
771,AASQCQSJ,AE,Female,Marr.,1,28,25~30,
772,AASQERUQ,CM,Male,Marr.,0,37,30~40,Bachelor
773,AASQESSQ,CP,Female,Marr.,1,43,40~50,Master
774,AASQEAUI,AE,Female,Marr.,2,39,30~40,Bachelor
775,AASQRESC,AE,Female,Marr.,1,35,30~40,
776,AASQRRRJ,AE,Male,Marr.,2,35,30~40,
777,AASQRRSA,AE,Male,Marr.,1,36,30~40,
778,AASQRICQ,AE,Female,Marr.,1,46,40~50,College
779,AASQSEJS,GS,Male,Marr.,1,35,30~40,Bachelor
780,AASQSQIU,CM,Male,Marr.,2,32,30~40,Master
781,AASQICQL,PA,Male,Marr.,0,28,25~30,
782,AASQIERJ,AE,Male,Marr.,1,38,30~40,Bachelor
783,AASQIEIQ,AE,Male,Marr.,1,32,30~40,Master
784,AASQIEUL,AE,Male,Marr.,2,36,30~40,Bachelor
785,AASQIRRQ,AE,Female,Marr.,1,31,30~40,Master
786,AASQILCC,RBAC,Female,Marr.,1,33,30~40,College
787,AASQILJE,CP,Male,Marr.,2,38,30~40,College
788,AASQIQQE,CP,Male,Marr.,1,35,30~40,College
789,AASQIJJU,CC,Male,Single,0,29,25~30,Bachelor
790,AASQURCA,CM,Male,Marr.,0,32,30~40,Bachelor
791,AASQULSL,AE,Female,Marr.,0,35,30~40,Master
792,AASQLEJC,AE,Male,Marr.,1,33,30~40,Master
793,AASQLJEE,RBAC,Male,Marr.,1,37,30~40,Bachelor
794,AASQLJUQ,CM,Male,Marr.,1,35,30~40,Master
795,AASQLJJS,AE,Male,Marr.,0,32,30~40,Master
796,AASQQCCC,AE,Male,Marr.,0,32,30~40,Master
797,AASQQRSS,CP,Female,Marr.,2,38,30~40,
798,AASQALEU,AE,Female,Marr.,0,36,30~40,Master
799,AASQALJQ,AE,Female,Single,0,29,25~30,
800,AASQAQCI,AE,Male,Marr.,1,31,30~40,Master
801,AASQAQSE,PA,Male,Marr.,1,34,30~40,Bachelor
802,AASQJCEQ,CC,Male,Single,0,31,30~40,Master
803,AASQJLEI,AE,Male,Marr.,1,36,30~40,Bachelor
804,AASQJLRS,PA,Male,Single,0,37,30~40,Bachelor
805,AASQJQER,CC,Male,Single,0,33,30~40,
806,AASQJQRE,CC,Male,Marr.,0,33,30~40,Master
807,AASQJQUA,CC,Female,Single,0,28,25~30,
808,AASQJQJI,CP,Female,Single,0,31,30~40,Bachelor
809,AASQJAEC,PA,Female,Marr.,1,32,30~40,
810,AASACQRA,AE,Male,Marr.,0,30,30~40,Master
811,AASACQLI,CC,Male,Marr.,1,38,30~40,Master
812,AASAECCI,RBCD,Female,Marr.,1,33,30~40,Master
813,AASAECIC,CP,Male,Marr.,0,30,30~40,Bachelor
814,AASAEEAI,CM,Male,Marr.,1,35,30~40,Master
815,AASAEACQ,AE,Male,Marr.,0,27,25~30,
816,AASARSUR,CI,Male,Marr.,1,26,25~30,Bachelor
817,AASARIJL,CM,Male,Marr.,1,39,30~40,Bachelor
818,AASARUCR,AE,Male,Single,0,31,30~40,Master
819,AASARUSJ,CM,Male,Marr.,2,36,30~40,Master
820,AASARULL,AE,Female,Marr.,1,38,30~40,Bachelor
821,AASARQCA,AE,Female,Marr.,1,31,30~40,Master
822,AASARQRL,AE,Female,Marr.,0,33,30~40,
823,AASARQSU,AE,Male,Marr.,0,31,30~40,
824,AASARJSE,AE,Female,Marr.,0,29,25~30,
825,AASARJLA,AE,Female,Marr.,1,39,30~40,Bachelor
826,AASARJAL,AE,Female,Marr.,2,36,30~40,Senior High School
827,AASASSRI,AE,Female,Marr.,0,29,25~30,
828,AASASSSS,CC,Male,Single,0,29,25~30,Bachelor
829,AASASSQJ,AE,Male,Single,0,28,25~30,
830,AASASSAA,AE,Male,Marr.,2,42,40~50,Master
831,AASASILA,AE,Male,Marr.,1,38,30~40,Bachelor
832,AASASUUL,AE,Male,Marr.,0,34,30~40,Bachelor
833,AASASULU,CC,Male,Marr.,1,39,30~40,Bachelor
834,AASASLEA,AE,Male,Single,1,30,30~40,
835,AASASLIU,AE,Male,Marr.,0,29,25~30,College
836,AASASJER,AE,Male,Marr.,0,32,30~40,
837,AASASJUA,AE,Female,Marr.,1,28,25~30,
